プライマリーキー,JIS漢字水準,JLPT,人名用漢字,国字,学年,常用漢字,漢検配当級,画数,部首別
頑,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,13,頁 页 おおがい・いちのかい
顔,JIS第１水準,N３,,,小学校二年生,然り,９級,18,頁 页 おおがい・いちのかい
願,JIS第１水準,N３,,,小学校四年生,然り,７級,19,頁 页 おおがい・いちのかい
企,JIS第１水準,N１,,,中学校一～三年生,然り,３級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
伎,JIS第１水準,N１,,,中学校一～三年生,然り,２級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
危,JIS第１水準,N３,,,小学校六年生,然り,５級,6,卩 㔾 ふしづくり・わりふ
喜,JIS第１水準,N３,,,小学校五年生,然り,６級,12,口 くち・くちへん
器,JIS第１水準,N１,,,小学校四年生,然り,７級,15,口 くち・くちへん
基,JIS第１水準,N１,,,小学校五年生,然り,６級,11,土 つち・つちへん・どへん
奇,JIS第１水準,N１,,,中学校一～三年生,然り,４級,8,大 だい
寄,JIS第１水準,N３,,,小学校五年生,然り,６級,11,宀 うかんむり
岐,JIS第１水準,N１,,,小学校四年生,然り,７級,7,山 やま・やまへん・やまかんむり
希,JIS第１水準,N２,,,小学校四年生,然り,７級,7,巾 はば・はばへん・きんべん
幾,JIS第１水準,N３,,,中学校一～三年生,然り,４級,12,幺 いとがしら・よう
忌,JIS第１水準,N１,,,中学校一～三年生,然り,３級,7,心 忄 こころ・したごころ・りっしんべん
揮,JIS第１水準,N１,,,小学校六年生,然り,５級,12,手 扌 て・てへん
机,JIS第１水準,N２,,,小学校六年生,然り,５級,6,木 き・きへん
旗,JIS第１水準,N１,,,小学校四年生,然り,７級,14,方 ほう・ほうへん・かたへん
既,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,无 旡 む・むにょう・ぶ・なし・すでのつくり
期,JIS第１水準,N３,,,小学校三年生,然り,８級,12,月 つき・つきへん
棋,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,木 き・きへん
棄,JIS第１水準,N１,,,中学校一～三年生,然り,３級,13,木 き・きへん
機,JIS第１水準,N３,,,小学校四年生,然り,７級,16,木 き・きへん
帰,JIS第１水準,N４,,,小学校二年生,然り,９級,10,巾 はば・はばへん・きんべん
気,JIS第１水準,N５,,,小学校一年生,然り,１０級,6,气 きがまえ
汽,JIS第１水準,N１,,,小学校二年生,然り,９級,7,水 氵 氺 みず・さんずい・したみず
畿,JIS第１水準,,,,中学校一～三年生,然り,２級,15,田 た・たへん
祈,JIS第１水準,N２,,,中学校一～三年生,然り,４級,8,示 礻 しめす・しめすへん・ねへん
季,JIS第１水準,N２,,,小学校四年生,然り,７級,8,子 こ・こへん・こども・こどもへん
紀,JIS第１水準,N１,,,小学校五年生,然り,６級,9,糸 糹 纟 いと・いとへん
規,JIS第１水準,N３,,,小学校五年生,然り,６級,11,見 见 みる
記,JIS第１水準,N３,,,小学校二年生,然り,９級,10,言 訁 讠 げん・ごんべん・ことば
貴,JIS第１水準,N１,,,小学校六年生,然り,５級,12,貝 贝 かい・かいへん・こがい
起,JIS第１水準,N４,,,小学校三年生,然り,８級,10,走 はしる・そうにょう
軌,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,車 车 くるま・くるまへん
輝,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,車 车 くるま・くるまへん
飢,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,食 飠 饣 しょく・しょくへん
騎,JIS第１水準,N１,,,中学校一～三年生,然り,３級,18,馬 马 うま・うまへん
鬼,JIS第１水準,N１,,,中学校一～三年生,然り,４級,10,鬼 おに・きにょう
亀,JIS第１水準,N１,,,中学校一～三年生,然り,２級,11,龜 亀 龟 かめ
偽,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,人 亻 ひと・にんべん・ひとがしら・ひとやね
儀,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,人 亻 ひと・にんべん・ひとがしら・ひとやね
宜,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,8,宀 うかんむり
戯,JIS第１水準,N１,,,中学校一～三年生,然り,４級,15,戈 ほこづくり・ほこがまえ・ほこ・かのほこ
技,JIS第１水準,N２,,,小学校五年生,然り,６級,7,手 扌 て・てへん
擬,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,17,手 扌 て・てへん
欺,JIS第１水準,N１,,,中学校一～三年生,然り,３級,12,欠 あくび・かける・けんづくり
犠,JIS第１水準,N１,,,中学校一～三年生,然り,３級,17,牛 牜 うし・うしへん
疑,JIS第１水準,N３,,,小学校六年生,然り,５級,14,疋 ひき・ひきへん
義,JIS第１水準,N１,,,小学校五年生,然り,６級,13,羊 ひつじ・ひつじへん
議,JIS第１水準,N３,,,小学校四年生,然り,７級,20,言 訁 讠 げん・ごんべん・ことば
菊,JIS第１水準,N１,,,中学校一～三年生,然り,３級,11,艸 艹 くさ・くさかんむり・そうこう
吉,JIS第１水準,N１,,,中学校一～三年生,然り,３級,6,口 くち・くちへん
喫,JIS第１水準,N２,,,中学校一～三年生,然り,３級,12,口 くち・くちへん
詰,JIS第１水準,N２,,,中学校一～三年生,然り,４級,13,言 訁 讠 げん・ごんべん・ことば
却,JIS第１水準,N１,,,中学校一～三年生,然り,４級,7,卩 㔾 ふしづくり・わりふ
客,JIS第１水準,N３,,,小学校三年生,然り,８級,9,宀 うかんむり
脚,JIS第１水準,N１,,,中学校一～三年生,然り,４級,11,肉 月 ⺼ にく・にくづき
虐,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,虍 とらかんむり・とらがしら・とら
逆,JIS第１水準,N２,,,小学校五年生,然り,６級,9,辵 辶 しんにょう・しんにゅう
丘,JIS第１水準,N１,,,中学校一～三年生,然り,４級,5,一 いち
久,JIS第１水準,N２,,,小学校五年生,然り,６級,3,丿 の・はらいぼう
休,JIS第１水準,N５,,,小学校一年生,然り,１０級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
及,JIS第１水準,N１,,,中学校一～三年生,然り,４級,3,又 また
吸,JIS第１水準,N３,,,小学校六年生,然り,５級,6,口 くち・くちへん
宮,JIS第１水準,N１,,,小学校三年生,然り,８級,10,宀 うかんむり
弓,JIS第１水準,N１,,,小学校二年生,然り,９級,3,弓 ゆみ・ゆみへん
急,JIS第１水準,N４,,,小学校三年生,然り,８級,9,心 忄 こころ・したごころ・りっしんべん
救,JIS第１水準,N１,,,小学校五年生,然り,６級,11,攴 攵 ぼくにょう・ぼくづくり・とまた・のぶん
朽,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,木 き・きへん
求,JIS第１水準,N３,,,小学校四年生,然り,７級,7,水 氵 氺 みず・さんずい・したみず
泣,JIS第１水準,N１,,,小学校四年生,然り,７級,8,水 氵 氺 みず・さんずい・したみず
球,JIS第１水準,N３,,,小学校三年生,然り,８級,11,玉 王 たま・たまへん・おう・おうへん
究,JIS第１水準,N４,,,小学校三年生,然り,８級,7,穴 あな・あなかんむり
窮,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,15,穴 あな・あなかんむり
級,JIS第１水準,N１,,,小学校三年生,然り,８級,9,糸 糹 纟 いと・いとへん
糾,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,9,糸 糹 纟 いと・いとへん
給,JIS第１水準,N３,,,小学校四年生,然り,７級,12,糸 糹 纟 いと・いとへん
旧,JIS第１水準,N２,,,小学校五年生,然り,６級,5,日 ひ・ひへん・にち・にちへん
牛,JIS第１水準,N４,,,小学校二年生,然り,９級,4,牛 牜 うし・うしへん
去,JIS第１水準,N４,,,小学校三年生,然り,８級,5,厶 む
居,JIS第１水準,N３,,,小学校五年生,然り,６級,8,尸 しかばね・かばね・しかばねだれ・しかばねかんむり・かばねだれ
巨,JIS第１水準,N２,,,中学校一～三年生,然り,４級,5,工 え・たくみ・たくみへん・こう
拒,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,8,手 扌 て・てへん
拠,JIS第１水準,N１,,,中学校一～三年生,然り,４級,8,手 扌 て・てへん
挙,JIS第１水準,N１,,,小学校四年生,然り,７級,10,手 扌 て・てへん
虚,JIS第１水準,N１,,,中学校一～三年生,然り,３級,11,虍 とらかんむり・とらがしら・とら
許,JIS第１水準,N３,,,小学校五年生,然り,６級,11,言 訁 讠 げん・ごんべん・ことば
距,JIS第１水準,N１,,,中学校一～三年生,然り,４級,12,足 あし・あしへん
漁,JIS第１水準,N２,,,小学校四年生,然り,７級,14,水 氵 氺 みず・さんずい・したみず
魚,JIS第１水準,N４,,,小学校二年生,然り,９級,11,魚 鱼 うお・うおへん・さかなへん
享,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,8,亠 なべぶた・けいさんかんむり
京,JIS第１水準,N４,,,小学校二年生,然り,９級,8,亠 なべぶた・けいさんかんむり
供,JIS第１水準,N３,,,小学校六年生,然り,５級,8,人 亻 ひと・にんべん・ひとがしら・ひとやね
競,JIS第１水準,N２,,,小学校四年生,然り,７級,20,立 たつ・たつへん
共,JIS第１水準,N３,,,小学校四年生,然り,７級,6,八 はち・はちがしら・は
凶,JIS第１水準,N１,,,中学校一～三年生,然り,４級,4,凵 かんにょう・うけばこ・かんがまえ
協,JIS第１水準,N２,,,小学校四年生,然り,７級,8,十 じゅう
叫,JIS第１水準,N２,,,中学校一～三年生,然り,４級,6,口 くち・くちへん
境,JIS第１水準,N２,,,小学校五年生,然り,６級,14,土 つち・つちへん・どへん
峡,JIS第１水準,N１,,,中学校一～三年生,然り,３級,9,山 やま・やまへん・やまかんむり
強,JIS第１水準,N４,,,小学校二年生,然り,９級,11,弓 ゆみ・ゆみへん
恐,JIS第１水準,N３,,,中学校一～三年生,然り,４級,10,心 忄 こころ・したごころ・りっしんべん
恭,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,10,心 忄 こころ・したごころ・りっしんべん
挟,JIS第１水準,N２,,,中学校一～三年生,然り,準２級,9,手 扌 て・てへん
教,JIS第１水準,N４,,,小学校二年生,然り,９級,11,攴 攵 ぼくにょう・ぼくづくり・とまた・のぶん
橋,JIS第１水準,N２,,,小学校三年生,然り,８級,16,木 き・きへん
況,JIS第１水準,N２,,,中学校一～三年生,然り,４級,8,水 氵 氺 みず・さんずい・したみず
狂,JIS第１水準,N１,,,中学校一～三年生,然り,４級,7,犬 犭 いぬ・けものへん
狭,JIS第１水準,N１,,,中学校一～三年生,然り,４級,9,犬 犭 いぬ・けものへん
矯,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,17,矢 や・やへん
胸,JIS第１水準,N２,,,小学校六年生,然り,５級,10,肉 月 ⺼ にく・にくづき
脅,JIS第１水準,N１,,,中学校一～三年生,然り,３級,10,肉 月 ⺼ にく・にくづき
興,JIS第１水準,N１,,,小学校五年生,然り,６級,16,臼 うす
郷,JIS第１水準,N１,,,小学校六年生,然り,５級,11,邑 阝 おおざと・むら
鏡,JIS第１水準,N１,,,小学校四年生,然り,７級,19,金 釒 钅 かね・かねへん
響,JIS第１水準,N１,,,中学校一～三年生,然り,４級,20,音 おと・おとへん
驚,JIS第１水準,N１,,,中学校一～三年生,然り,４級,22,馬 马 うま・うまへん
仰,JIS第１水準,N１,,,中学校一～三年生,然り,４級,6,人 亻 ひと・にんべん・ひとがしら・ひとやね
凝,JIS第１水準,N１,,,中学校一～三年生,然り,３級,16,冫 にすい
暁,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,日 ひ・ひへん・にち・にちへん
業,JIS第１水準,N４,,,小学校三年生,然り,８級,13,木 き・きへん
局,JIS第１水準,N３,,,小学校三年生,然り,８級,7,尸 しかばね・かばね・しかばねだれ・しかばねかんむり・かばねだれ
曲,JIS第１水準,N３,,,小学校三年生,然り,８級,6,曰 いわく・ひらび
極,JIS第１水準,N２,,,小学校四年生,然り,７級,12,木 き・きへん
玉,JIS第１水準,N２,,,小学校一年生,然り,１０級,5,玉 王 たま・たまへん・おう・おうへん
僅,JIS第１水準,,,,中学校一～三年生,然り,２級,13,人 亻 ひと・にんべん・ひとがしら・ひとやね
勤,JIS第１水準,N３,,,小学校六年生,然り,５級,12,力 ちから
均,JIS第１水準,N２,,,小学校五年生,然り,６級,7,土 つち・つちへん・どへん
巾,JIS第１水準,,,,中学校一～三年生,然り,２級,3,巾 はば・はばへん・きんべん
錦,JIS第１水準,N１,,,中学校一～三年生,然り,２級,16,金 釒 钅 かね・かねへん
斤,JIS第１水準,N１,,,中学校一～三年生,然り,３級,4,斤 おのづくり・おの・きん
琴,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,12,玉 王 たま・たまへん・おう・おうへん
禁,JIS第１水準,N２,,,小学校五年生,然り,６級,13,示 礻 しめす・しめすへん・ねへん
筋,JIS第１水準,N１,,,小学校六年生,然り,５級,12,竹 たけ・たけかんむり
緊,JIS第１水準,N１,,,中学校一～三年生,然り,３級,15,糸 糹 纟 いと・いとへん
菌,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,11,艸 艹 くさ・くさかんむり・そうこう
襟,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,18,衣 衤 ころも・ころもへん
謹,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,17,言 訁 讠 げん・ごんべん・ことば
近,JIS第１水準,N４,,,小学校二年生,然り,９級,7,辵 辶 しんにょう・しんにゅう
金,JIS第１水準,N５,,,小学校一年生,然り,１０級,8,金 釒 钅 かね・かねへん
吟,JIS第１水準,N１,,,中学校一～三年生,然り,準２級,7,口 くち・くちへん
銀,JIS第１水準,N４,,,小学校三年生,然り,８級,14,金 釒 钅 かね・かねへん
